,week,region,cases
492,14,Pacoima,92
493,14,Palisades Highlands,0
494,14,Palmdale,156
495,14,Palms,214
496,14,Palos Verdes Estates,124
497,14,Panorama City,120
498,14,Paramount,97
499,14,Park La Brea,31
500,14,Pasadena,0
501,14,Pico Rivera,119
502,14,Pico-Union,80
503,14,Playa Del Rey,0
504,14,Playa Vista,80
505,14,Pomona,113
506,14,Porter Ranch,83
507,14,Rancho Palos Verdes,136
508,14,Rancho Park,18
509,14,Redondo Beach,363
510,14,Regent Square,0
511,14,Reseda,178
512,14,Reseda Ranch,0
513,14,Reynier Village,0
514,14,Rolling Hills,0
515,14,Rolling Hills Estates,25
516,14,Rosemead,29
517,14,Rowland Heights,40
518,14,San Dimas,40
519,14,San Fernando,33
520,14,San Gabriel,49
521,14,San Marino,10
522,14,San Pedro,134
523,14,Santa Clarita,473
524,14,Santa Fe Springs,0
525,14,Santa Monica,400
526,14,Santa Monica Mountains,330
527,14,Shadow Hills,20
528,14,Sherman Oaks,299
529,14,Sierra Madre,0
530,14,Signal Hill,0
531,14,Silverlake,227
532,14,South Carthay,93
533,14,South El Monte,25
534,14,South Gate,217
535,14,South Park,86
536,14,South Pasadena,51
537,14,South Whittier,68
538,14,St Elmo Village,0
539,14,Stevenson Ranch,25
540,14,Studio City,130
541,14,Sun Valley,75
542,14,Sunland,55
543,14,Sycamore Square,0
544,14,Sylmar,263
545,14,Tarzana,208
546,14,Temple City,21
547,14,Temple-Beaudry,98
548,14,Thai Town,10
549,14,Toluca Lake,17
550,14,Toluca Terrace,0
551,14,Toluca Woods,0
552,14,Torrance,475
553,14,Tujunga,44
554,14,University Hills,0
555,14,University Park,94
556,14,Valinda,11
557,14,Valley Glen,80
558,14,Valley Village,172
559,14,Van Nuys,157
560,14,Venice,139
561,14,Vermont Knolls,41
562,14,Vermont Square,21
563,14,Vermont Vista,58
564,14,Vernon,0
565,14,Vernon Central,65
566,14,Victoria Park,33
567,14,View Heights,0
568,14,Walnut,35
569,14,Watts,68
570,14,Wellington Square,0
571,14,West Adams,107
572,14,West Covina,57
573,14,West Hills,83
574,14,West Hollywood,478
575,14,West Los Angeles,194
576,14,West Vernon,129
577,14,West Whittier/Los Nietos,21
578,14,Westchester,139
579,14,Westlake,131
580,14,Westlake Village,0
581,14,Westwood,186
582,14,Whittier,111
583,14,Wholesale District,80
584,14,Willowbrook,45
585,14,Wilmington,102
586,14,Wilshire Center,102
587,14,Winnetka,117
588,14,Woodland Hills,235
589,15,Acton,20
590,15,Adams-Normandie,101
591,15,Agoura Hills,136
592,15,Alhambra,197
593,15,Alsace,27
594,15,Altadena,226
595,15,Angeles National Forest,0
596,15,Angelino Heights,0
597,15,Arcadia,129
598,15,Arleta,150
599,15,Artesia,10
600,15,Atwater Village,57
601,15,Avalon,0
602,15,Azusa,112
603,15,Baldwin Hills,187
604,15,Baldwin Park,114
605,15,Bassett,18
606,15,Bel Air,142
607,15,Bell,214
608,15,Bell Gardens,138
609,15,Bellflower,310
