,month,region,cases
545,5,East Hollywood,5647
546,5,East Los Angeles,18961
547,5,Echo Park,1078
548,5,El Monte,9981
549,5,El Segundo,1665
550,5,El Sereno,4098
551,5,Elysian Park,399
552,5,Elysian Valley,1169
553,5,Encino,3342
554,5,Exposition,202
555,5,Exposition Park,6003
556,5,Faircrest Heights,115
557,5,Figueroa Park Square,870
558,5,Florence-Firestone,22105
559,5,Gardena,6448
560,5,Glassell Park,4656
561,5,Glendale,25031
562,5,Glendora,2946
563,5,Gramercy Place,1502
564,5,Granada Hills,6614
565,5,Green Meadows,3487
566,5,Hacienda Heights,2817
567,5,Hancock Park,2244
568,5,Harbor City,2108
569,5,Harbor Gateway,3146
570,5,Harbor Pines,182
571,5,Harvard Heights,2999
572,5,Harvard Park,6567
573,5,Hawaiian Gardens,820
574,5,Hawthorne,11741
575,5,Hermosa Beach,814
576,5,Hidden Hills,25
577,5,Highland Park,4352
578,5,Historic Filipinotown,3055
579,5,Hollywood,7188
580,5,Hollywood Hills,2283
581,5,Huntington Park,8937
582,5,Hyde Park,3379
583,5,Industry,251
584,5,Inglewood,14548
585,5,Irwindale,103
586,5,Jefferson Park,918
587,5,Koreatown,6461
588,5,La Canada Flintridge,2111
589,5,La Habra Heights,194
590,5,La Mirada,3854
591,5,La Puente,2258
592,5,La Verne,815
593,5,Lafayette Square,482
594,5,Lake Balboa,4696
595,5,Lake Los Angeles,1662
596,5,Lakeview Terrace,2584
597,5,Lakewood,4003
598,5,Lancaster,15270
599,5,Lawndale,3310
600,5,Leimert Park,1395
601,5,Lincoln Heights,5380
602,5,Little Armenia,4969
603,5,Little Bangladesh,3193
604,5,Little Tokyo,358
605,5,Lomita,1365
606,5,Longwood,566
607,5,Los Feliz,1316
608,5,Lynwood,11089
609,5,Malibu,1032
610,5,Manchester Square,545
611,5,Mandeville Canyon,33
612,5,Manhattan Beach,2242
613,5,Mar Vista,2148
614,5,Marina Peninsula,312
615,5,Maywood,4552
616,5,Melrose,14153
617,5,Mid-city,1491
618,5,Miracle Mile,1199
619,5,Mission Hills,3512
620,5,Monrovia,3410
621,5,Montebello,8010
622,5,Monterey Park,3608
623,5,Mt. Washington,2250
624,5,North Hills,9604
625,5,North Hollywood,16820
626,5,Northridge,7732
627,5,Norwalk,9214
628,5,Pacific Palisades,1367
629,5,Pacoima,15655
630,5,Palisades Highlands,93
631,5,Palmdale,17586
632,5,Palms,5118
633,5,Palos Verdes Estates,1253
634,5,Panorama City,16576
635,5,Paramount,6736
636,5,Park La Brea,484
637,5,Pasadena,1071
638,5,Pico Rivera,10289
639,5,Pico-Union,12633
640,5,Playa Del Rey,60
641,5,Playa Vista,1075
642,5,Pomona,9519
643,5,Porter Ranch,2274
644,5,Rancho Palos Verdes,2432
645,5,Rancho Park,413
646,5,Redondo Beach,3866
647,5,Regent Square,98
648,5,Reseda,12119
649,5,Reseda Ranch,814
650,5,Reynier Village,296
651,5,Rolling Hills,62
652,5,Rolling Hills Estates,414
653,5,Rosemead,2042
654,5,Rowland Heights,2767
655,5,San Dimas,1223
656,5,San Fernando,4674
657,5,San Gabriel,2511
658,5,San Marino,546
659,5,San Pedro,23644
660,5,Santa Clarita,17517
661,5,Santa Fe Springs,1284
662,5,Santa Monica,7039
663,5,Santa Monica Mountains,39798
664,5,Shadow Hills,299
665,5,Sherman Oaks,5876
666,5,Sierra Madre,238
667,5,Signal Hill,501
668,5,Silverlake,4675
669,5,South Carthay,892
670,5,South El Monte,2496
671,5,South Gate,12118
672,5,South Park,7180
673,5,South Pasadena,3377
674,5,South Whittier,3534
675,5,St Elmo Village,1032
676,5,Stevenson Ranch,1822
677,5,Studio City,2015
678,5,Sun Valley,6926
679,5,Sunland,3754
680,5,Sycamore Square,31
681,5,Sylmar,17984
682,5,Tarzana,3497
683,5,Temple City,3213
684,5,Temple-Beaudry,7411
685,5,Thai Town,718
686,5,Toluca Lake,465
687,5,Toluca Terrace,121
688,5,Toluca Woods,96
689,5,Torrance,10253
690,5,Tujunga,3035
691,5,University Hills,282
692,5,University Park,4049
693,5,Valinda,2895
694,5,Valley Glen,3333
695,5,Valley Village,5334
696,5,Van Nuys,16238
697,5,Venice,1805
698,5,Vermont Knolls,3115
699,5,Vermont Square,2117
700,5,Vermont Vista,6837
701,5,Vernon,41
702,5,Vernon Central,12197
703,5,Victoria Park,1453
704,5,View Heights,247
705,5,Walnut,1008
706,5,Watts,5723
707,5,Wellington Square,544
708,5,West Adams,5135
709,5,West Covina,6881
710,5,West Hills,3185
711,5,West Hollywood,4870
712,5,West Los Angeles,2754
713,5,West Vernon,10293
714,5,West Whittier/Los Nietos,2658
715,5,Westchester,2550
716,5,Westlake,15134
717,5,Westlake Village,186
718,5,Westwood,1851
719,5,Whittier,7056
720,5,Wholesale District,12235
721,5,Willowbrook,4971
722,5,Wilmington,4998
723,5,Wilshire Center,5528
724,5,Winnetka,7179
725,5,Woodland Hills,4310
726,6,Acton,1919
727,6,Adams-Normandie,2251
728,6,Agoura Hills,1254
729,6,Alhambra,9237
730,6,Alsace,2852
731,6,Altadena,5682
732,6,Angeles National Forest,30
733,6,Angelino Heights,630
734,6,Arcadia,3573
735,6,Arleta,10874
736,6,Artesia,1999
737,6,Atwater Village,1795
738,6,Avalon,94
739,6,Azusa,11885
740,6,Baldwin Hills,6505
741,6,Baldwin Park,16756
742,6,Bassett,9360
743,6,Bel Air,1209
744,6,Bell,14971
745,6,Bell Gardens,14499
746,6,Bellflower,17883
747,6,Beverly Crest,1329
748,6,Beverly Hills,5348
749,6,Beverlywood,1381
750,6,Boyle Heights,36647
751,6,Bradbury,137
752,6,Brentwood,2825
753,6,Brookside,17
754,6,Burbank,14010
755,6,Cadillac-Corning,1151
756,6,Calabasas,3010
757,6,Canoga Park,19244
758,6,Canyon Country,2370
759,6,Carson,20796
760,6,Carthay,2880
761,6,Castaic,45303
762,6,Central,20856
763,6,Century City,1298
764,6,Century Palms/Cove,13160
765,6,Cerritos,4949
766,6,Chatsworth,7138
767,6,Cheviot Hills,759
768,6,Chinatown,898
769,6,Claremont,2217
770,6,Cloverdale/Cochran,3020
771,6,Commerce,3926
772,6,Compton,33632
773,6,Country Club Park,3681
774,6,Covina,12682
775,6,Crenshaw District,2898
776,6,Crestview,3036
777,6,Cudahy,10595
